cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
32630,1,5276501159711,5276501159741,5276501159774,5276501437467,5276501461630,209431,63,209431,24163,233657,2112000000
32623,1,5276501143461,5276501143492,5276501143516,5276501469756,5276501469788,224443,55,224443,32,224530,2112000000
32631,1,5276501197416,5276501197445,5276501197479,5276501477435,5276501477462,214343,63,214343,27,214433,2112000000
32634,1,5276501210361,5276501210388,5276501210410,5276501485443,5276501485490,217058,49,217058,47,217154,2112000000
32639,1,5276501203040,5276501203071,5276501203095,5276501494212,5276501494247,228922,55,228922,35,229012,2112000000
182,0,5276501519472,5276501519932,5276501520085,5276503406894,5276503406939,1610609,613,1610609,45,1611267,2112000000
182,0,5276503422857,5276503422910,5276503423044,5276504954079,5276504954106,1320193,187,1320193,27,1320407,2112000000
190,0,5213089156184,5213089156441,5213089156551,5276534794661,5276534794673,0,367,63445638110,12,63445638489,2112000000
189,0,5213089156716,5213089156870,5213089157777,5276534818602,5276534818613,0,1061,63445660825,11,63445661897,2112000000
188,0,5213089157844,5213089158017,5213089159156,5276534827586,5276534827798,0,1312,63445668430,212,63445669954,2112000000
187,0,5213089159217,5213089159376,5213089160417,5276534835314,5276534835465,0,1200,63445674897,151,63445676248,2112000000
186,0,5213089160478,5213089160625,5213089161765,5276534842806,5276534843008,0,1287,63445681041,202,63445682530,2112000000
185,0,5213089161831,5213089161977,5213089162947,5276534851295,5276534851441,0,1116,63445688348,146,63445689610,2112000000
184,0,5213089163008,5213089163151,5213089164277,5276534858642,5276534859005,0,1269,63445694365,363,63445695997,2112000000
183,0,5213089164346,5213089164479,5213089165571,5276534866566,5276534866577,0,1225,63445700995,11,63445702231,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5277914785239,5277914789350,5277914791201,5277916139997,5277916140528,91520,5962,91520,531,98013,2112000000
191,0,5277917395038,5277917395203,5277917395553,5277923347588,5277923347614,413590,515,413590,26,414131,2112000000
191,0,5277923363703,5277923363817,5277923363827,5277923456783,5277923456810,6746,124,6746,27,6897,2112000000
191,0,5277923474534,5277923474585,5277923474618,5277924070412,5277924070437,42540,84,42540,25,42649,2112000000
191,0,5277924081787,5277924081834,5277924081868,5277924171382,5277924171408,6492,81,6492,26,6599,2112000000
182,0,5277985033394,5277985033473,5277985033581,5277986541834,5277986541881,110103,187,110103,47,110337,2112000000
32633,1,5341346501837,5341346501876,5341346501896,5341346648919,5341346648940,49013,59,49013,21,49093,2112000000
32628,1,5341346624793,5341346624823,5341346624846,5341346711407,5341346711428,72677,53,72677,21,72751,2112000000
32629,1,5341346626453,5341346626491,5341346626510,5341346722411,5341346722430,82960,57,82960,19,83036,2112000000
32638,1,5341346628084,5341346628141,5341346628160,5341346730107,5341346730144,89944,76,89944,37,90057,2112000000
32625,1,5341346629734,5341346629763,5341346629796,5341346737398,5341346737428,96500,62,96500,30,96592,2112000000
32626,1,5341346631407,5341346631437,5341346631472,5341346744972,5341346745010,103411,65,103411,38,103514,2112000000
32624,1,5341346633063,5341346633091,5341346633120,5341346752407,5341346752437,110150,57,110150,30,110237,2112000000
32636,1,5341346634725,5341346634756,5341346634786,5341346812658,5341346812697,169732,61,169732,39,169832,2112000000
32631,1,5341346636675,5341346636705,5341346636732,5341346820507,5341346820536,176905,57,176905,29,176991,2112000000
32639,1,5341346638052,5341346638080,5341346638105,5341346827942,5341346827963,183411,53,183411,21,183485,2112000000
32632,1,5341346641370,5341346641398,5341346641425,5341346835231,5341346835383,189443,55,189443,152,189650,2112000000
32630,1,5341346643030,5341346643059,5341346643081,5341346842713,5341346842739,196118,51,196118,26,196195,2112000000
32623,1,5341346644978,5341346645006,5341346645028,5341346849871,5341346849903,202562,50,202562,32,202644,2112000000
32635,1,5341346646373,5341346646403,5341346646430,5341346856864,5341346856909,208629,57,208629,45,208731,2112000000
32637,1,5341346612619,5341346612652,5341346612672,5341346864548,5341346864733,230566,53,230566,185,230804,2112000000
